cover_path,stego_path,mse,psnr
covers_jpeg/27.jpeg,stegos_jpeg/stego_27.jpeg,113.0160,63.5500
covers_jpeg/4.jpeg,stegos_jpeg/stego_4.jpeg,137.9040,61.5597
covers_jpeg/42.jpeg,stegos_jpeg/stego_42.jpeg,208.5643,57.4228
covers_jpeg/9.jpeg,stegos_jpeg/stego_9.jpeg,474.5927,49.2007
covers_jpeg/41.jpeg,stegos_jpeg/stego_41.jpeg,173.8702,59.2422
covers_jpeg/23.jpeg,stegos_jpeg/stego_23.jpeg,63.9167,69.2495
covers_jpeg/86.jpeg,stegos_jpeg/stego_86.jpeg,138.8437,61.4918
covers_jpeg/95.jpeg,stegos_jpeg/stego_95.jpeg,329.6786,52.8441
covers_jpeg/6.jpeg,stegos_jpeg/stego_6.jpeg,68.9211,68.4956
covers_jpeg/20.jpeg,stegos_jpeg/stego_20.jpeg,332.7523,52.7513
covers_jpeg/19.jpeg,stegos_jpeg/stego_19.jpeg,213.8109,57.1744
covers_jpeg/54.jpeg,stegos_jpeg/stego_54.jpeg,125.5580,62.4976
covers_jpeg/49.jpeg,stegos_jpeg/stego_49.jpeg,176.9404,59.0671
covers_jpeg/83.jpeg,stegos_jpeg/stego_83.jpeg,118.3549,63.0884
covers_jpeg/87.jpeg,stegos_jpeg/stego_87.jpeg,326.3642,52.9451
covers_jpeg/22.jpeg,stegos_jpeg/stego_22.jpeg,294.6904,53.9660
covers_jpeg/30.jpeg,stegos_jpeg/stego_30.jpeg,344.2640,52.4112
covers_jpeg/16.jpeg,stegos_jpeg/stego_16.jpeg,215.0547,57.1163
covers_jpeg/90.jpeg,stegos_jpeg/stego_90.jpeg,68.4467,68.5647
covers_jpeg/35.jpeg,stegos_jpeg/stego_35.jpeg,240.4806,55.9989
covers_jpeg/66.jpeg,stegos_jpeg/stego_66.jpeg,221.9595,56.8003
covers_jpeg/46.jpeg,stegos_jpeg/stego_46.jpeg,291.7248,54.0672
